ListingPictures,ListingID#,Class,PropClass,Area/City,Community,Address,PostalCode,Status,Price,DOM,offer_price,offer_price_90
//cdnparap130.paragonrels.com/ParagonImages/Property/p13/RAE/225255362/0/120/90/6768dc398d64c66294abb63931b3e737/1/257f9e2b51888639dff43bd75cf502a3/225255362.JPG,E4342542,RE,SF,Edmonton,Weinlos,2428 49A Street,T6L 6E1,T,"$363,900",32,"$381,826","$343,644"
,,,,,,"2429 49A Street, Edmonton, AB",,,,,"$381,826","$343,644"
,,,,,,"2427 49A Street, Edmonton, AB",,,,,"$299,635","$269,671"
//cdnparap130.paragonrels.com/ParagonImages/Property/p13/RAE/225250016/0/120/90/3f5f142af7c5bee9b3e5836c68771d7c/1/c05a22912f6ee79984f9cbd70a865e15/225250016.JPG,E4337196,RE,SF,Edmonton,Miller,4520 150 Avenue,T5Y 2Z9,T,"$369,900",63,"$377,665","$339,898"
,,,,,,"4521 150 Avenue, Edmonton, AB",,,,,"$322,524","$290,271"
,,,,,,"4519 150 Avenue, Edmonton, AB",,,,,"$332,407","$299,167"
//cdnparap130.paragonrels.com/ParagonImages/Property/p13/RAE/225247366/0/120/90/1544073bca4ec505c0e138340ef4eac8/1/73aac9fde059a7bcc660c94f4ebea4b2/225247366.JPG,E4334546,RE,SF,Edmonton,Ritchie,9506 72 Avenue,T6E 0Y4,T,"$375,000",82,"$394,831","$355,348"
,,,,,,"9507 72 Avenue, Edmonton, AB",,,,,"$717,876","$646,088"
,,,,,,"9505 72 Avenue, Edmonton, AB",,,,,"$717,876","$646,088"
//cdnparap130.paragonrels.com/ParagonImages/Property/p13/RAE/225250050/0/120/90/61ebd7de08b67c847f84b200cd6a7ae6/1/b08546539b297b5c76896ed87f067adc/225250050.JPG,E4337230,RE,SF,Edmonton,Ottewell,9108 72 Street,T6B 1Y7,T,"$389,900",63,"$433,846","$390,462"
,,,,,,"9109 72 Street, Edmonton, AB",,,,,"$433,846","$390,462"
,,,,,,"9107 72 Street, Edmonton, AB",,,,,"$510,316","$459,284"
//cdnparap130.paragonrels.com/ParagonImages/Property/p13/RAE/225249980/0/120/90/cbe658e2a33e65e0bfacd64c72715ae4/1/07b87e4dd42780abf25059a527a494d4/225249980.JPG,E4337160,RE,SF,Edmonton,Kirkness,3535 147A Avenue,T5Y 2N6,X,"$397,000",64,"$395,352","$355,816"
,,,,,,"3536 147A Avenue, Edmonton, AB",,,,,"$383,907","$345,516"
,,,,,,"3534 147A Avenue, Edmonton, AB",,,,,"$383,907","$345,516"
//cdnparap130.paragonrels.com/ParagonImages/Property/p13/RAE/225247408/0/120/90/1bad770b3c0de57d65c3f0b8b4e661ee/1/a18da25fa842d03a37f1e05c299989bc/225247408.JPG,E4334588,RE,SF,Edmonton,Twin Brooks,11844 8 Avenue,T6J 6Z9,T,"$399,000",81,"$369,862","$332,875"
,,,,,,"11845 8 Avenue, Edmonton, AB",,,,,"$369,862","$332,875"
,,,,,,"11843 8 Avenue, Edmonton, AB",,,,,"$408,877","$367,989"
//cdnparap130.paragonrels.com/ParagonImages/Property/p13/RAE/225254240/0/120/90/5e57165ca782286d31d71cfe5d9681d9/1/ec994bc3dbdeb877c9e540c38562b00b/225254240.JPG,E4341420,RE,SF,Edmonton,Stewart Greens,662 LEWIS GREENS Drive,T5T 4V9,T,"$399,900",38,"$389,629","$350,666"
,,,,,,"663 LEWIS GREENS Drive, Edmonton, AB",,,,,"$380,266","$342,239"
,,,,,,"661 LEWIS GREENS Drive, Edmonton, AB",,,,,"$455,695","$410,125"
//cdnparap130.paragonrels.com/ParagonImages/Property/p13/RAE/225257635/0/120/90/c04c4d1237058ed9bef25cfa58bd9b11/1/a21b2956684fada0a4dbe5f1eb700ecf/225257635.JPG,E4344815,RE,SF,Edmonton,Windermere,3606 WHITELAW Bay,T6W 0P9,T,"$425,000",19,"$557,654","$501,888"
,,,,,,"3607 WHITELAW Bay, Edmonton, AB",,,,,"$416,680","$375,012"
,,,,,,"3605 WHITELAW Bay, Edmonton, AB",,,,,"$393,271","$353,944"
//cdnparap130.paragonrels.com/ParagonImages/Property/p13/RAE/225254477/0/120/90/a90a754ca5aae207e54f17e7121d5b09/1/b6cbf555b727fcb1c1baaefab6bb325e/225254477.JPG,E4341657,RE,SF,Edmonton,Edgemont (Edmonton),8050 EVANS Crescent,T6M 0T8,T,"$455,000",38,"$411,478","$370,330"
,,,,,,"8051 EVANS Crescent, Edmonton, AB",,,,,"$411,478","$370,330"
,,,,,,"8049 EVANS Crescent, Edmonton, AB",,,,,"$411,478","$370,330"
//cdnparap130.paragonrels.com/ParagonImages/Property/p13/RAE/225249751/0/120/90/3228d3259a8d1723e9dc8e53e0db0bc7/1/ff0017de888e30421cc6a0e3ef7900ab/225249751.JPG,E4336931,RE,SF,Edmonton,Oxford,12932 159 Avenue,T6V 1B3,X,"$478,800",66,"$519,679","$467,711"
,,,,,,"12933 159 Avenue, Edmonton, AB",,,,,"$519,679","$467,711"
,,,,,,"12931 159 Avenue, Edmonton, AB",,,,,"$512,397","$461,157"
//cdnparap130.paragonrels.com/ParagonImages/Property/p13/RAE/225249184/0/120/90/c6763551095c08a6996696f61e27b6ef/1/98c67d2c00da577ce35ceed45520fbe6/225249184.JPG,E4336364,RE,SF,Edmonton,Maple,247 42 Avenue,T6T 2C8,X,"$484,900",69,"$423,963","$381,566"
,,,,,,"248 42 Avenue, Edmonton, AB",,,,,"$423,963","$381,566"
,,,,,,"246 42 Avenue, Edmonton, AB",,,,,"$423,963","$381,566"
//cdnparap130.paragonrels.com/ParagonImages/Property/p13/RAE/225254515/0/120/90/14a6dbb47916a2f67cc66d69ab048843/1/09dd07f5ce3db3a57a6ce6d32939e815/225254515.JPG,E4341695,RE,SF,Edmonton,Royal Gardens (Edmonton),4423 117A Street,T6J 1V8,T,"$524,900",37,"$583,664","$525,297"
,,,,,,"4424 117A Street, Edmonton, AB",,,,,"$583,664","$525,297"
,,,,,,"4422 117A Street, Edmonton, AB",,,,,"$583,664","$525,297"
//cdnparap130.paragonrels.com/ParagonImages/Property/p13/RAE/225244435/0/120/90/f75c7010699f38ed5248c7a284e548af/1/f9774a4dee09ff60cc822d711a7160ea/225244435.JPG,E4331615,RE,SF,Edmonton,Pleasantview (Edmonton),10503 61 Avenue,T6H 1L3,X,"$548,800",102,"$535,806","$482,225"
,,,,,,"10504 61 Avenue, Edmonton, AB",,,,,"$535,806","$482,225"
,,,,,,"10502 61 Avenue, Edmonton, AB",,,,,"$535,806","$482,225"
//cdnparap130.paragonrels.com/ParagonImages/Property/p13/RAE/225250430/0/120/90/dda05104ded90dc435db4f5b1df9e6a4/1/e0c57540e8cea73c3e665c301e0b8c07/225250430.JPG,E4337610,RE,SF,Edmonton,Forest Heights (Edmonton),10328 83 Street,T6A 3P1,T,"$549,800",61,"$559,215","$503,293"
,,,,,,"10329 83 Street, Edmonton, AB",,,,,"$559,215","$503,293"
,,,,,,"10327 83 Street, Edmonton, AB",,,,,"$471,821","$424,639"
//cdnparap130.paragonrels.com/ParagonImages/Property/p13/RAE/225248663/0/120/90/2c0b34fa1a263dc49e02c53e251e7e5d/1/8371d6dbf6187176cf780a370f11c8ca/225248663.JPG,E4335843,RE,SF,Edmonton,Cameron Heights (Edmonton),947 CHAHLEY Crescent,T6M 0C8,T,"$589,999",73,"$581,583","$523,425"
,,,,,,"948 CHAHLEY Crescent, Edmonton, AB",,,,,"$508,235","$457,411"
,,,,,,"946 CHAHLEY Crescent, Edmonton, AB",,,,,"$525,402","$472,861"
